Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
66,Oshae Brissett\brissos01,SF,21,TOR,19,0,7.1,0.7,1.9,.361,0.2,0.8,.200,0.5,1.1,.476,.403,0.4,0.5,.800,0.5,0.9,1.4,0.4,0.2,0.1,0.4,0.9,1.9
67,Ryan Broekhoff\broekry01,SF,29,DAL,17,1,10.6,1.3,3.5,.373,1.2,3.0,.392,0.1,0.5,.250,.542,0.4,0.5,.875,0.3,2.2,2.5,0.6,0.3,0.2,0.4,0.9,4.2
68,Malcolm Brogdon\brogdma01,PG,27,IND,54,54,30.9,6.0,13.8,.438,1.4,4.3,.326,4.6,9.5,.488,.489,3.1,3.4,.892,0.9,4.0,4.9,7.1,0.6,0.2,2.4,1.8,16.5
69,Dillon Brooks\brookdi01,SG,24,MEM,73,73,28.9,6.0,14.6,.407,2.0,5.6,.358,3.9,9.0,.438,.476,2.2,2.8,.808,0.9,2.4,3.3,2.1,0.9,0.4,1.7,3.8,16.2
70,Bruce Brown\brownbr01,PG,23,DET,58,43,28.2,3.4,7.7,.443,0.6,1.7,.344,2.8,6.1,.470,.480,1.5,2.1,.739,1.1,3.7,4.7,4.0,1.1,0.5,1.7,2.8,8.9
71,Charlie Brown\brownch02,SG,22,ATL,10,0,4.0,0.6,1.9,.316,0.3,0.9,.333,0.3,1.0,.300,.395,0.5,0.5,1.000,0.2,0.2,0.4,0.2,0.2,0.2,0.3,0.3,2.0
72,Jaylen Brown\brownja02,SG,23,BOS,57,57,33.9,7.5,15.6,.481,2.3,5.9,.382,5.2,9.6,.543,.554,3.1,4.3,.724,1.1,5.3,6.4,2.1,1.1,0.4,2.2,2.9,20.3
73,Moses Brown\brownmo01,C,20,POR,9,0,3.7,0.4,1.1,.400,0.0,0.0,,0.4,1.1,.400,.400,0.3,0.9,.375,0.3,1.2,1.6,0.1,0.1,0.1,0.3,0.8,1.2
74,Sterling Brown\brownst02,SF,24,MIL,52,1,14.8,1.8,4.9,.371,0.8,2.6,.324,1.0,2.3,.425,.457,0.6,0.8,.800,0.6,2.9,3.5,1.0,0.6,0.1,0.8,1.0,5.1
75,Troy Brown Jr.\browntr01,SF,20,WAS,69,22,25.8,4.0,9.0,.439,0.9,2.6,.341,3.1,6.4,.479,.488,1.6,2.0,.784,1.1,4.4,5.6,2.6,1.2,0.1,1.1,1.9,10.4
76,Jalen Brunson\brunsja01,PG,23,DAL,57,16,17.9,3.2,6.8,.466,0.8,2.1,.358,2.4,4.7,.515,.522,1.1,1.3,.813,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3,8.2
77,Thomas Bryant\bryanth01,C,22,WAS,46,36,24.9,5.3,9.1,.581,0.8,2.0,.407,4.5,7.1,.630,.626,1.9,2.5,.741,2.1,5.1,7.2,1.8,0.5,1.1,1.2,2.2,13.2
78,Reggie Bullock\bullore01,SG,28,NYK,29,19,23.6,3.1,7.7,.402,1.3,3.8,.333,1.8,3.9,.469,.484,0.6,0.7,.810,0.4,1.9,2.3,1.4,0.9,0.1,0.7,1.9,8.1
79,Trey Burke\burketr01,PG,27,TOT,33,1,15.8,2.8,6.3,.450,1.0,2.3,.427,1.9,4.1,.463,.526,0.7,0.9,.793,0.5,1.0,1.5,2.5,0.5,0.1,0.6,1.0,7.4
